block_time,block_number,from,to,network,token,contract,value,hash
2023-08-26 07:40:27.000 UTC,3.4391362e+07,0x35e394b6d048edfd2e62c406dcc48206dcb0906f,0xf075da62bd824feea2698c80c3590dcbe0facd63,Avalanche,ERC20,USDC,8.357597,0x5b058c60031cef6d6944a6357112ab5aff288c5e9a294a8d8e0fc3ca480fd9ae
2023-08-25 06:03:00.000 UTC,3.4348406e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x325409632bccffac706d378a2eca57cafa21ab11,Avalanche,ERC20,USDC,393.19,0x47948149e48939c230ecdf3afa9c0a2cf8a7d184d9509ceced060b47af5f5db0
2023-08-25 05:59:41.000 UTC,3.4348316e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x325409632bccffac706d378a2eca57cafa21ab11,Avalanche,ERC20,USDC,498,0x790f55e85f1bbbd8f83550104279541234132236769cd95898912632813ffeb2
2023-08-25 05:50:49.000 UTC,3.4348069e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x325409632bccffac706d378a2eca57cafa21ab11,Avalanche,ERC20,USDC,98,0x7d873acffd6742dfbe4e10a2aa8ecfb4f6893422d28a58187e1ed1d89edc1b4c
2023-08-25 00:38:50.000 UTC,3.4339408e+07,0xe0a325d636c28751806ebfab54995b427d98358f,0x2fc617e933a52713247ce25730f6695920b3befe,Avalanche,ERC20,USDC,483.13,0xf5508dc0f8af026bc78e555c1dd2e80fb7e001b062fe6711e608571adc14bf37
2023-08-24 18:26:36.000 UTC,3.4329103e+07,0xf075da62bd824feea2698c80c3590dcbe0facd63,0x35e394b6d048edfd2e62c406dcc48206dcb0906f,Avalanche,ERC20,USDC,119.381963,0xf9977835a530bc3872fcdaef0a1fd22e4aee584f5507a1b0cd568e8ac5c686f7
2023-08-23 13:50:15.000 UTC,3.4281125e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x40409954cb878a6384ec099e65106ad17b80fced,Avalanche,ERC20,USDC,28,0xdcec70bcb7d95cfe2841e1cd5a02928c23a26992ab89606788ec6b69cdc5bd13
2023-08-23 13:46:24.000 UTC,3.4281021e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x9dda346797c5b946c2c384553373539e7d370178,Avalanche,ERC20,USDC,28,0x6f93606f026f1481605358f2c779c890d026db3da3ebf489bcce33df82d1851c
2023-08-23 07:22:08.000 UTC,3.4270165e+07,0xb33245bd4b5be7c99059539bbc5aec8b723ac4b7,0x2b33f6c2c1105a01ddd92ffead15bd2c715176a6,Avalanche,ERC20,USDC,686.396367,0xc39148437b76028b3c29c1837ec4cb026d63ea392990b7e1fa035e1380095775
2023-08-22 00:38:59.000 UTC,3.4218726e+07,0x8910e3ac6ed2282339198f0c3d014a60a81a8a4c,0xb33245bd4b5be7c99059539bbc5aec8b723ac4b7,Avalanche,ERC20,USDC,703.214055,0x0dd4f4e806dc5d84ef9674ca5ba49379f2a08035eeb8273c12f641b32258c275
2023-08-20 20:53:20.000 UTC,3.4172464e+07,0x7117248ddc900ad01b78c02462b09f3c594b13ea,0x2fc617e933a52713247ce25730f6695920b3befe,Avalanche,ERC20,USDC,1000,0x7bc6e47b5a4973d3421617a330aac07ee488f20baf815a3309211f53f024c516
2023-08-20 12:35:06.000 UTC,3.4158591e+07,0x8241cb5b0c83971e9d5fbf2efa10ecefd9c8ea82,0x2fc617e933a52713247ce25730f6695920b3befe,Avalanche,ERC20,USDC,549,0xcc985de71d518f5e934e47c9dcc22e6c5c26e7805c18b55dac054e3217d9276c
2023-08-20 10:29:11.000 UTC,3.4155077e+07,0xf075da62bd824feea2698c80c3590dcbe0facd63,0x35e394b6d048edfd2e62c406dcc48206dcb0906f,Avalanche,ERC20,0xb279f8dd152b99ec1d84a489d32c35bc0c7f5674,471.1516879740469,0xceb578739c51754a8cf4d9a4c3e2b29144941c1773800f4e4903f7b002b62669
2023-08-20 06:32:11.000 UTC,3.4148496e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x41d15d8c33b178c05c1991f8960b9b7070ba9040,Avalanche,ERC20,USDC,8.21,0xadc1180a9f56b286cc495059a73d4ab903b29d2700d8713b612dfd17f93204e8
2023-08-19 19:20:37.000 UTC,3.4129916e+07,0x3cc35873a61d925ac46984f8c4f85d8fa6a892ef,0x7abdef5eb43d74227f4b5ca253e1b202332ad044,Avalanche,ERC20,USDC,100,0x0b1db73e0d05268edf45a339b8382dd2dec759a0e44c54d76a89d79ac405374d
2023-08-19 09:08:38.000 UTC,3.411284e+07,0xfcd134aa6567e6c28b342c575199376e491841be,0x02f077064e807240e1f3808e9ce912b6027dfcf4,Avalanche,ERC20,BTC.b,1e-06,0x18f5f26415e25113bb122d660ae3b68bf71fe8279c2e5188c56e58d7f68aefd9
2023-08-19 03:08:58.000 UTC,3.4102796e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x0a3f4abce67aa283bb64668230a7390c7dfc9ff0,Avalanche,ERC20,USDC,6.99,0x0d892dbed1e841a14e22d459c427a8c7a4003129b32eea7857012d8e5e1b96e9
2023-08-18 19:17:16.000 UTC,3.4089717e+07,0x7fbde8b27d2b4f164b66f2a9dc02bbd6697e5b19,0x9cd7d1981b3e15a2dee4d512ac60e0579ae18546,Avalanche,ERC20,BTC.b,0.08477408,0x6934ebc1c93b8550ca701f6f141ee0db0f50fe400586f0270463fbe4d8ac65ca
2023-08-18 14:36:17.000 UTC,3.4081865e+07,0xd9d4c54c383e70ae53c299501f4ac27971e79660,0x2fc617e933a52713247ce25730f6695920b3befe,Avalanche,ERC20,USDC,153,0x9b6720f6f56c44ec34d55d574a8134847ff4b353991cd663107b50ee8026396b
2023-08-18 12:31:47.000 UTC,3.4078384e+07,0x11f0f6b2bb2032f349940d7f87ad1b3ee13cffee,0xc09359201ca79775682848b79feadb9789f66a93,Avalanche,ERC20,USDC,1020,0x984b5d0e1fd53ad9ece3b87ca409099c583ed839812b56f4c54db0d1e393797d
2023-08-18 05:09:34.000 UTC,3.4065931e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0xda3e608973dd2150fbc1e19f3ed1f183a37af1d6,Avalanche,ERC20,USDC,4.51,0x909bacc97c9735e1af5e565236066ce3575e59a14bbda51b1b4ededefb6fbb83
2023-08-17 23:52:27.000 UTC,3.4057136e+07,0x107c6938f759f86ee08aa7ef2a71fe8243b70105,0xb2bd8c736568b6eb67bca6f269f9761e9e813176,Avalanche,ERC20,USDC.e,343.18353,0x667d44f58be32d76a027407ced205621a7c60aac614022a11a6e1ec4e3379542
2023-08-17 21:27:01.000 UTC,3.4052917e+07,0x2fc617e933a52713247ce25730f6695920b3befe,0x55c94752b98deac4afc283dc52116179d1c8d0c6,Avalanche,ERC20,USDC,97.99,0xd2b611691b68094bdebb02dc7e6fb1b71c2b60ef4eaff5a27b27dafc87e8544d
