block_time,block_number,from,to,network,token,contract,value,hash
2023-08-27 16:09:49.000 UTC,3.181621e+06,0x0616a8ff20f882077fb08ea5a3242ac9f1d0b430,0x791d7aa6551c65dc850f647efc163d7639887f18,Base,native,ETH,0.065,0xa07a12cb3176db44105fcee6c5c71d006f115734a321f06ccac6f35aac455c38
2023-08-27 16:08:13.000 UTC,3.181573e+06,0x0616a8ff20f882077fb08ea5a3242ac9f1d0b430,0x791d7aa6551c65dc850f647efc163d7639887f18,Base,native,ETH,0.01,0x00c94b1a04e5c7346ef2832a13c6eda2621bfed3b80d23f82dff6254f7e7b5fc
2023-08-27 15:17:53.000 UTC,3.180063e+06,0x880c3d24218046089c8b1eef3ef94c66d5ed7d13,0x24cc63f253f6e0c3a65aab4721cf58f115c0cc5d,Base,native,ETH,0.002413855530746485,0x495989c3ecea0d106018f8e79b35cd1024ac6084a5e6673c6341bfbe71ece7ac
2023-08-27 12:51:15.000 UTC,3.175664e+06,0x69a815c7bdd69f86a93a60260885e7bbe6f85a79,0x40d754097a3fd22adffa72d9936c2d82865f535f,Base,native,ETH,0.003,0x783d19beaf5f1aa4e4ccb44bba960fd9816e3b2431f56e841d14868bfd49ff31
2023-08-27 11:03:07.000 UTC,3.17242e+06,0x1857edfb56cf8828ac7ee77edc065ab885a0b3dc,0x6b7c8205c3975497aa9dd464277b94fe33ef2686,Base,native,ETH,0.0073,0x6c31d0ff980343c66d030490e69b75f10b85f6ece6ad06e9b49eac0d64e22a12
2023-08-27 10:39:41.000 UTC,3.171717e+06,0x8db98acd0fdcd31330fbc5ab0c7ab18db65cac6f,0xcce838c994a17ad21f20dbba2fffde3df13b0793,Base,native,ETH,0.0015,0xb00ed5a6226650e0c2c5fd9c590c52bbe069cef964649a5a8b55e915d1c5696a
2023-08-27 10:33:25.000 UTC,3.171529e+06,0x49ea8c218799f3dc82332b67370913d264530a99,0x8db98acd0fdcd31330fbc5ab0c7ab18db65cac6f,Base,native,ETH,0.001,0x7b0e692834d2ee9bf1570826ce01ee556309acde2e99bf5fe8a77d34eea0cafb
2023-08-27 10:13:37.000 UTC,3.170935e+06,0x60e671d69951be9749d905fa5050f14143bbc159,0x062f7f61b9d0d8950a8bc50b81610d7ea6f93c98,Base,native,ETH,0.002,0xd44e5124ddfe8adaf8f7ee6909fe6b0525e7751b0fa2f98f498c565aa5d95ac8
2023-08-27 10:09:45.000 UTC,3.170819e+06,0x02b6fb1fc90f028a9b6b00b53e7c47761da0f784,0x60e671d69951be9749d905fa5050f14143bbc159,Base,native,ETH,0.004,0xd00376eea3710ea98e0a08c42a3a505a0d0904175c942d189c896871278c7e6b
2023-08-27 09:50:27.000 UTC,3.17024e+06,0x78fb8b2fd28c1f34cc6bc15813cacccc5d8c5454,0x4f8d777245ba00dfb7492e81866071eeac4d45a9,Base,native,ETH,0.0087,0x69f3bbc473a67b7a5544f07df809f87efcb0dfe41d3f7e6f7b0e9a6597846473
2023-08-27 09:48:31.000 UTC,3.170182e+06,0x232eeafdf7c80b55611673e62115cad50b0c7113,0x02b6fb1fc90f028a9b6b00b53e7c47761da0f784,Base,native,ETH,0.006,0x936dc03268d5e99fdf6e3e7f9313c97b76d8e8f4135333a0ef9b85ce101ca05f
2023-08-27 09:46:51.000 UTC,3.170132e+06,0x37e2bbc7b95810b064d80e02ad3421e30f428ef6,0x5a72bfaf8dd5b251bd008fdc0b4656319ac0509b,Base,native,ETH,0.001440139300746909,0x8dbfd38ca99492ea1df7e666212c31f8a712ede4823257aebf7232c48eb1f1cb
2023-08-27 09:42:59.000 UTC,3.170016e+06,0x7f69eec4a308381e9d1a8a030c0d19b0bfe5ce16,0x78fb8b2fd28c1f34cc6bc15813cacccc5d8c5454,Base,native,ETH,0.0093,0x868b691af980ed09011b6bd233d9f8032a2451869e6a15acd7d1f84a2147639a
2023-08-27 09:35:51.000 UTC,3.169802e+06,0x1213a46dd9ad97338385c462a133dec6786cb685,0x7f69eec4a308381e9d1a8a030c0d19b0bfe5ce16,Base,native,ETH,0.0099,0x0291d1c69e7cc117cb2d7f1f80a99ea414dea9905a91d70ab0006adcae3d0545
