block_time,block_number,from,to,network,token,contract,value,hash
2023-08-26 19:29:00.000 UTC,2.1081932e+07,0x5a72bfaf8dd5b251bd008fdc0b4656319ac0509b,0x862d5986d681ddf6f722c0f14d50231cc9b6395e,Celo,native,CELO,6,0x4ccca63edaddc72120d835826bbf5c7ffd255e25df0b6e67082ec89e18a9cfab
2023-08-26 19:28:40.000 UTC,2.1081928e+07,0x5f96322bafb9b06e33930e68bf8db3f23f83f126,0x37e2bbc7b95810b064d80e02ad3421e30f428ef6,Celo,native,CELO,5,0x593fafdba14efa1b20ab6430112d42c7c4c95d4227ab59a5452320fc80e2d596
2023-08-26 19:28:30.000 UTC,2.1081926e+07,0x5f96322bafb9b06e33930e68bf8db3f23f83f126,0x5a72bfaf8dd5b251bd008fdc0b4656319ac0509b,Celo,native,CELO,12,0x1d2ef6a67bb3d42b2f70fc1731eea8f042c6db5e83098438e3c7f9a46828fbea
2023-08-26 02:12:05.000 UTC,2.1069489e+07,0x79f3ddc535bc7ce363b0f43247da8f20e68f0a27,0x5f6777c4a4f6be1fb40702caabd06a660d56a42a,Celo,native,CELO,0.9,0x9ec819bb3e72c1016c51507e4fc1f63ec101dc56ae1f575db925920d79848310
2023-08-25 08:10:08.000 UTC,2.1056506e+07,0x35e394b6d048edfd2e62c406dcc48206dcb0906f,0xf075da62bd824feea2698c80c3590dcbe0facd63,Celo,native,CELO,13,0x50e3e20a8f5d7c3d6dccc36144dc9e156d16c31167edfbf30dbade17ba29ec24
2023-08-24 21:58:48.000 UTC,2.104917e+07,0x35e394b6d048edfd2e62c406dcc48206dcb0906f,0xf075da62bd824feea2698c80c3590dcbe0facd63,Celo,native,CELO,0.4,0x694f8c6b0a3f8dbbe2468cd990628614ad645ae41030b0afd4a56635b620702d
2023-08-23 04:04:14.000 UTC,2.1018996e+07,0x99020692bd7c0a1a1f271b57541f07ccc4c16d2e,0xfb6f5a9a24f7f5643af305a849a0ab2df2b0ed79,Celo,native,CELO,9.48326433257279,0xbf945a99922e54fcfea438a96d1a5c5ae841fa9626bfaf6fc6235f19edb54486
2023-08-22 17:38:09.000 UTC,2.1011483e+07,0xc9f817ea7aabe604f5677bf9c1339e32ef1b90f0,0xd30a2b2f6685a3192bbea36e05874a614bee6c8b,Celo,native,CELO,12,0xe339c30755e510b7a533005711c7fc5a663e38cb6ecab8f1cf618536ce8d3ba4
2023-08-22 15:27:26.000 UTC,2.1009915e+07,0x3ae0e9a6b67a9ca5cf2f42a0b3266b2098d399ab,0x7b9044d2862e1bcf5212f9d41583c291cd5419f6,Celo,native,CELO,0.199181258,0x5c0535742c133aa3b6bc80bef8e60bc7920421cdf8bf25f37e5c371d0e7f6ee1
2023-08-22 08:40:56.000 UTC,2.1005037e+07,0x0cffb46589ffc76e102c1ad0797689a408bb7e27,0xa017ffcbbb47ef81008a167adc298590c0d86c61,Celo,native,CELO,33,0xa5482a3f297bba7e59f12e073ecfe77776142fee5d4b0612a8d9aa0e2a92bde8
2023-08-22 03:30:06.000 UTC,2.1001307e+07,0x7bf2d125955155c25bc31bf65616aa911c2b2651,0xb8174030a920dadfe664feb96c743a9225de3ec3,Celo,native,CELO,1,0x8575f02ff41ca139c3bc559c2871c80b2faf5527bfa49b6affbfe8f6700bbb8d
2023-08-21 15:41:31.000 UTC,2.0992804e+07,0x50d2dec635c48f5e8cede341df87c651c6cd5318,0x3496cc53d6d8650ec936891038e656a85475126b,Celo,native,CELO,0.9998425,0xab7c0b4d689fddae8337d36d5c944b7409d31c4da3373d88a868c6cbdda01d45
2023-08-21 15:40:56.000 UTC,2.0992797e+07,0x3496cc53d6d8650ec936891038e656a85475126b,0x50d2dec635c48f5e8cede341df87c651c6cd5318,Celo,native,CELO,26.643757804227526,0x9cf5dbd5e21177049077a4a8e8154a2e82e6138eb613f6f510da51c5ffa166ee
2023-08-21 08:27:56.000 UTC,2.0987601e+07,0xfbc1458c5bdc9db7dd903f26a02b7cf27bed4610,0x61076345f106e116f721e9536611b2d5c1fe3f9b,Celo,native,CELO,2.5934908878265666,0xfd01f04b22e4880105339f3835dfe1d8ebbe2499459ce916cbd3e452036b20e7
2023-08-21 08:08:51.000 UTC,2.0987372e+07,0x61076345f106e116f721e9536611b2d5c1fe3f9b,0xfbc1458c5bdc9db7dd903f26a02b7cf27bed4610,Celo,native,CELO,4.452477709019036,0xfd496d541fe1ed18bcf6da3f0900c517e7e72d30134f8337a71f36c0f59ab02c
2023-08-21 07:20:36.000 UTC,2.0986793e+07,0xfbc1458c5bdc9db7dd903f26a02b7cf27bed4610,0x61076345f106e116f721e9536611b2d5c1fe3f9b,Celo,native,CELO,4.453002709019036,0x849558468a35a97b082190b9c1da0c10cf4838c07ee67b9f8a49e4c1cbfad011
2023-08-20 22:57:54.000 UTC,2.0980761e+07,0x61076345f106e116f721e9536611b2d5c1fe3f9b,0xfbc1458c5bdc9db7dd903f26a02b7cf27bed4610,Celo,native,CELO,1.5310735660930876,0x2918674b5508bbb0255a1192cbb624f01752f7f7ed771e1c6cde69f09b9b37aa
2023-08-20 14:09:18.000 UTC,2.0974418e+07,0x316400c17ddc56adfb47cb6ae764c57c10e9bb1d,0xed65878f505a6f2789f4f166169e37226adf6c5f,Celo,native,CELO,3,0x0291128de1eb0f042fc309999e52e05e691fcb36caa8d4ce800808263196b035
2023-08-20 14:05:58.000 UTC,2.0974378e+07,0x12c162d1a60b518fee11686044210fffc14b71d4,0xed65878f505a6f2789f4f166169e37226adf6c5f,Celo,native,CELO,1.8,0x352f3dbe46d3829195cd1073880821cdfb6ec409aee685b49397ae2f67360e90
2023-08-20 07:30:13.000 UTC,2.0969629e+07,0xd34aed921ab9561885e0e7dbbae637395c5486cd,0xa224bf723254a2643294189496559bfb51d29b39,Celo,native,CELO,2,0xcd0be4cc4c2e88cf22ff2179e5dd5d6a3a9899d168c9831fbe265a41b06da62a
2023-08-20 07:20:23.000 UTC,2.0969511e+07,0xd34aed921ab9561885e0e7dbbae637395c5486cd,0xa224bf723254a2643294189496559bfb51d29b39,Celo,native,CELO,2,0xab798166c6b548c3ece38b40c47c1536095a09e05a0c6db918343c30c9ebc5a6
2023-08-20 01:16:43.000 UTC,2.0965147e+07,0x617e6e52927580b65fa6a9c366a3a76ff439f393,0x156362ed8dad31f9226350fa747f6eea9fdd0cd8,Celo,native,CELO,50,0x69f19f6ac132b48f0127a377e633ca14ad10883df67446a7abf6561327b4c313
2023-08-19 22:28:33.000 UTC,2.0963129e+07,0x18f8b654187f80e1738bcab04230861a498a4db8,0xbd17dfb5db2bfbc8e6991ec12671d1ce702144ce,Celo,native,CELO,3,0x2fe754a2868452fafa50b7f51bbed831d065bbd408c6a601ce0ba14657778032
2023-08-19 17:43:08.000 UTC,2.0959704e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0xf848c60c502dc305d849df3c990d0521bad39505,Celo,native,CELO,10,0x599d3dc815ad76a998dd13da276391b7881492d9ce7e05e9b4a833ed42d90b80
2023-08-19 17:43:03.000 UTC,2.0959703e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0x525aa7a57b09bc1b2cd056b1cf5ac5cfd986697d,Celo,native,CELO,10,0x85f8c60b269f602f03f31654afdf75c1608a35c74bff7a918097368590ccf2fd
2023-08-19 17:42:58.000 UTC,2.0959702e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0xe178dbcda16084cfa5b0ebe4e8a8e010bc7d19a5,Celo,native,CELO,10,0x5fbf58dfc614c23dac3f909c976eaa769659e7d6ff55c9ff14f78abae5f40920
2023-08-19 17:42:53.000 UTC,2.0959701e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0xb6fd1e6c59b656b7d37d7f748e2a27bf9af50a3c,Celo,native,CELO,10,0x3a90f546ba8b953652b4999e7ad109ce6b568274627b8d59ece03d54a6204f7a
2023-08-19 17:42:43.000 UTC,2.0959699e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0x5738358eeff1c34949ff8a009cbe2a3e8bc3d156,Celo,native,CELO,10,0xe5ada26e019d0f4fd7a0cae629638a04768da85a148dceab85942fef649a3f77
2023-08-19 17:42:38.000 UTC,2.0959698e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0x7a7183d650172bb0d91449430423ea58362bb246,Celo,native,CELO,10,0xd3c262b8844dc14ee2ed80949d1227a99563d2038976b48ae1df6b25c1341ade
2023-08-19 17:42:33.000 UTC,2.0959697e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0x2531b9f490356b251963d6f29489c7a3ca9ae538,Celo,native,CELO,10,0x3002a302293a96f574bdd7c2a35511c7771ebf8c14a48dd0337161e850b959a7
2023-08-19 17:42:23.000 UTC,2.0959695e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0x7730246c2c714fdec597af98f480a616918225fc,Celo,native,CELO,10,0x21d045745d42dc8025739d6bf5ed99fb0d377c9cbff32942791e66eb9e0b1737
2023-08-19 17:42:18.000 UTC,2.0959694e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0x3010612ca1d39d4e7936fb01c5f3e58e186b3191,Celo,native,CELO,10,0x2942c5e72978a17c283d3a4445bdb62f9f4ef4a05c9aed555fc55d6116162173
2023-08-19 17:42:03.000 UTC,2.0959691e+07,0x22f051a8d3a4e048877d965f683fdac7db09d92f,0x9400627a6c07d64903b9f980fa427252307515ed,Celo,native,CELO,10,0x4a7d28af34ad33f7e997f76e81dfaa2f652c6251f1db319488750fa312ec20b6
2023-08-19 15:12:53.000 UTC,2.0957901e+07,0xc366422dc9bd483e641adf42131bdfd5daec8534,0x43c146f15f353a7204eaaa61b7128bbc38a74405,Celo,native,CELO,2,0x73b7ba6fb1fc3af53df73c03fdba4a9055d501101f5de69d35db98989682215e
2023-08-19 14:26:33.000 UTC,2.0957345e+07,0x3723a3c595cbb47ead3fb744b4eb90c2fa3371e9,0xba07c4b25a06d1b08d9d0c28ca6d9df2695a359d,Celo,native,CELO,5.5,0xdd31c219a2f72023638b5333217a67cd4d9d7d39b0aa254c30f239b9123119ef
2023-08-19 07:23:48.000 UTC,2.0952272e+07,0x34f9c0b11e67d72ad65c41ff90a6989846f28c22,0x03e839d7f1329c859c796eced60024d07ed9b882,Celo,native,CELO,5,0x364de23a413a054830971d8d1c3e5e942fa65206c1e3b6eaf9df118a1daab55e
2023-08-19 06:09:53.000 UTC,2.0951385e+07,0x5dd6fd6f17b550f45129e4e62bf4e7bd7e05f6d0,0xf92396b345fc1693824cd174718beec48119e353,Celo,native,CELO,4.4,0x4a214d4ef1bd3d039efa9cae82926638c3e9d6cb8c08877b99bfe79ab5700112
2023-08-16 06:56:26.000 UTC,2.0900104e+07,0x9d32ccb03147e88f0d84dcd846e5bceadfa9bdd0,0x6403e7fe6a931fe35870f55be4d1e1ded12e25a1,Celo,native,CELO,47,0x73ac3ef9f9d0c03d4a924e5965a952593eb899039d9e98ec3c1270e17fdbe51f
2023-08-16 05:43:11.000 UTC,2.0899225e+07,0x99020692bd7c0a1a1f271b57541f07ccc4c16d2e,0xfb6f5a9a24f7f5643af305a849a0ab2df2b0ed79,Celo,native,CELO,3.733658876422274,0xc22dda3ec94f43d9b7c6c29c7042952135790ddc9c50cec436f703a3f3e6a645
2023-08-16 03:18:21.000 UTC,2.0897487e+07,0xfb6f5a9a24f7f5643af305a849a0ab2df2b0ed79,0x99020692bd7c0a1a1f271b57541f07ccc4c16d2e,Celo,native,CELO,2.327525299785119,0x593cce327d5ba2b7ce67979862e7e78cd92c62f6b97e5486bb32f0d7b3ed6651
2023-08-15 17:30:11.000 UTC,2.0890429e+07,0x88762fd9f80fed521f742410b6e6bb2e00ca5efc,0xfcdc2b90afab49485942f7661ffdc622c08b2bee,Celo,native,CELO,10.695682722719791,0x8d2840f99a3f83b844245a52af7f077462dcd024f91b793ff227a9a660800bc0
2023-08-15 10:14:31.000 UTC,2.0885201e+07,0xeb72b81126194908b56d98d368e1347cf6a41943,0x40f5e545dabc1ef75f5448e19045a90c1b13e6d0,Celo,native,CELO,16,0xd153fc80e4745995f382c7a6bcbcd5d9fa867093bede748938ae2bbd408a7258
2023-08-15 06:46:16.000 UTC,2.0882702e+07,0x895b2c93976f72e6db0bf88265a74f34733abd3d,0x45af9cb6df0958ee803b85a8545927698542cd47,Celo,native,CELO,3,0xa9082bb720fc7fff946aef046d4c364e0df8fa914d1681999076778b256cb0be
2023-08-14 08:11:24.000 UTC,2.0866444e+07,0xab595a18366454608c3be0babd8d96436d60ec8d,0x93f471152d4d8d1e959d62246db5fd60a71c3edb,Celo,native,CELO,1,0xfc5e6c62acdd54211afaa8ad8bef49ed80571b4597c51a07032a60f201d4665c
2023-08-14 08:11:09.000 UTC,2.0866441e+07,0xab595a18366454608c3be0babd8d96436d60ec8d,0x6e4399c62027cf8c4791b33fd0b7889b6b3157fa,Celo,native,CELO,1,0x656118a0b072d67e52c4ae64090c8018f920901721f157c447565977b01b0a72
2023-08-14 06:06:49.000 UTC,2.0864949e+07,0xc78ac9a8db56e5e7f031854f3687dc62872b3030,0x1135e6c406fa861a413d53fd3b8d6e434767ed16,Celo,native,CELO,2.8383580520325555,0x15718e87dbb4daf3b2ed5ed6bc862cc09939ae015036173d51b44559cf80e102
2023-08-14 06:00:59.000 UTC,2.0864879e+07,0x2600544f150db80438004be4bbc7114aa21615a9,0x90d4aa3bf552999e7ca9ce89cf8e6fada4c69aab,Celo,native,CELO,0.5,0x58256b853da810b219a419da269c406586784b22ea52a1aeec5f00190e391c5f
2023-08-14 02:54:59.000 UTC,2.0862647e+07,0xfb394aeb48291bb1e455e19a4ea6ba5258c0d345,0x451932128a719d7f977de300910157aa910f68c0,Celo,native,CELO,1.5197812353996565,0x47360f6566a4a07201328254c0ad9f84b655b87cff65cf140ee93182e63294f7
2023-08-14 02:46:34.000 UTC,2.0862546e+07,0xd253b2d95aa793d99b92895f2e6b4dbad889cf0d,0xfb394aeb48291bb1e455e19a4ea6ba5258c0d345,Celo,native,CELO,2.3260174372496563,0x30d3ae1b2da5994abadcc9c188ea7ba78e40019acf6a09cff8ad05d20a53be79
2023-08-14 00:51:39.000 UTC,2.0861167e+07,0xe453bbd39a1b3ec58ecec53d6bb2d06709839012,0xd253b2d95aa793d99b92895f2e6b4dbad889cf0d,Celo,native,CELO,5,0x74ec708538512c6593e689fa1639d07c3ac4b877034ce6c069c0d522dce2f284
2023-08-13 14:01:04.000 UTC,2.085336e+07,0x5dd6fd6f17b550f45129e4e62bf4e7bd7e05f6d0,0xf92396b345fc1693824cd174718beec48119e353,Celo,native,CELO,6,0xfb5b7248e3f98420fbe64caf8ca690b55d459c9c8fedbb92ed5ce52e18a21356
2023-08-13 13:43:24.000 UTC,2.0853148e+07,0x84b674ffdd0f721b6bad22ae5b5e21afe7a6586f,0x7cadb3f4d989de491e248629701f6e3a9ec04a21,Celo,native,CELO,0.004475,0xcd1880d3682f50194399f5681d32d2adc90361ad012cf987c83479202e560439
2023-08-13 13:35:19.000 UTC,2.0853051e+07,0x5dd6fd6f17b550f45129e4e62bf4e7bd7e05f6d0,0xf92396b345fc1693824cd174718beec48119e353,Celo,native,CELO,4,0x2d4ca27d62b5bcae7b0480951da6932b2b9923981a74b7354dc299737f78e635
2023-08-13 12:29:39.000 UTC,2.0852263e+07,0x970614852a0155878ad48f926b2c772255246a25,0x08a9df4096ef7f72e8a72d0a9826b5e5d7299e27,Celo,native,CELO,4.5,0x1fbf3d368d24cf1881fd5a78577f91f8fee6c7c719117d614c3967c2341bb19c
2023-08-13 09:09:09.000 UTC,2.0849857e+07,0x7f3e4d32918194647a5663c7160c8cbc17c789fb,0xd68dd3b26c0c33386f284f43eb8e131697d514e5,Celo,native,CELO,2.87,0xf2b5f19793b6f1a4e6b230934f9437d2f45933b9645067615f0aa6f0e37cf8cc
2023-08-13 09:02:29.000 UTC,2.0849777e+07,0x06471a4370e34ac12ddf3c578ea6f7a07f565a2b,0x1b99bbb4a3d01fed86bdc9d0758c8cf463bf0903,Celo,native,CELO,15.5,0x3a1c6178640b418a38de08c72e627af641bf1191c7f6184e150703b6c59d1091
2023-08-13 07:16:04.000 UTC,2.08485e+07,0xc85bb09ebd65166136a0e1c210c14e6b496e41d5,0x69aa35bb44d55e57d05e61fe93d73613e6baac0d,Celo,native,CELO,5,0x64e7bca8fe3ba0ed7899a2515a899ed2d8441bf0325037ee8e2a9159250ab91d
2023-08-13 06:36:19.000 UTC,2.0848023e+07,0xc78ac9a8db56e5e7f031854f3687dc62872b3030,0x1135e6c406fa861a413d53fd3b8d6e434767ed16,Celo,native,CELO,0.996971825,0x7057622935848eb39bcabcc47d5eada8067073ae3566555304cc15271e581183
2023-08-13 06:33:44.000 UTC,2.0847992e+07,0x1135e6c406fa861a413d53fd3b8d6e434767ed16,0xc78ac9a8db56e5e7f031854f3687dc62872b3030,Celo,native,CELO,1,0x1b9edc6d7f624b287e75f34dbb69443f20ff946285b29f670d4b0e046e3eb1e5
2023-08-13 06:13:39.000 UTC,2.0847751e+07,0xc78ac9a8db56e5e7f031854f3687dc62872b3030,0x1135e6c406fa861a413d53fd3b8d6e434767ed16,Celo,native,CELO,0.996419325,0xcb8ac08620662d3401bc40745595a777327ad65d0872aa778b14d7379ca62b77
2023-08-13 06:09:39.000 UTC,2.0847703e+07,0x1135e6c406fa861a413d53fd3b8d6e434767ed16,0xc78ac9a8db56e5e7f031854f3687dc62872b3030,Celo,native,CELO,1,0x1596f96c6d9a311960c7fd9803cdfb6facb2a971d272d46b53abac40c9d868e7
2023-08-13 05:31:44.000 UTC,2.0847248e+07,0x7bc4dc490903e046aec4303f03599dd6fd06851a,0xbd19d863ff69b4ab332a8b2efbb91fe95cb6d5f0,Celo,native,CELO,5,0xfdacd9730f4eb9370ec3237dc4fbb06059502bb6f7f65c002e268dcbe5b285b9
2023-08-13 05:05:59.000 UTC,2.0846939e+07,0xf938097bd64b0f9c969983b361a07edfe9143552,0xf656970a1994c211acda565b8fa85f045aca3e4d,Celo,native,CELO,0.8,0x56d2ee8a5649e80839c5d40461797c6eb3c8861201f05b5b80d8484d6b6d0b77
2023-08-13 05:00:29.000 UTC,2.0846873e+07,0xf938097bd64b0f9c969983b361a07edfe9143552,0xf656970a1994c211acda565b8fa85f045aca3e4d,Celo,native,CELO,2,0x315327d490207dbdcb24b33eab51bedc2a2d9727e22f1ed5b1a36e18ed733e30
2023-08-13 04:51:04.000 UTC,2.084676e+07,0xf938097bd64b0f9c969983b361a07edfe9143552,0xf656970a1994c211acda565b8fa85f045aca3e4d,Celo,native,CELO,4,0x3e9c618d2ceef4fcf991ce0d941d29957fe339c8cd693712c80333e10664e5a7
2023-08-13 01:50:04.000 UTC,2.0844588e+07,0xf938097bd64b0f9c969983b361a07edfe9143552,0xf656970a1994c211acda565b8fa85f045aca3e4d,Celo,native,CELO,2,0x380fe49178bceb669e40effb463b60ba99b734ba1ffcd390ffc8758a1b41cbd2
2023-08-12 18:45:48.000 UTC,2.0839497e+07,0x550176c0abb1a22c257a43307d5138b98aa738f7,0x64901e355520e922dd6b786c9895b9554f22102d,Celo,native,CELO,2.5,0xa86ca7037a2f75a81660252814d1a6888c1030f183c41c06717d7408a4366450
2023-08-12 11:37:23.000 UTC,2.0834356e+07,0x623e5e8d81fa86d6169ff87abf7a9ec626b33eaf,0xa224bf723254a2643294189496559bfb51d29b39,Celo,native,CELO,3.379085237339406,0x4e8f2758a502bc56aafa56720b80fad0f3b40c64cdb06fc3194817faaf992d6c
2023-08-12 07:31:13.000 UTC,2.0831402e+07,0x18aa86cfdbf17e6935ff12c73503a23b08e22e37,0x06471a4370e34ac12ddf3c578ea6f7a07f565a2b,Celo,native,CELO,23.568715533541408,0x759530ec189f0c1648369c2a80f314f26bb243f6b56d8d24ddceb9882897745f
