block_time,block_number,from,to,network,token,contract,value,hash
2023-08-27 08:22:35.000 UTC,2.9669281e+07,0x1b11e4cdf56304d4d8a6e3645e219cfc30339e65,0x8c5866526e1d69f32454ba29c34a2fbddd19de0c,Gnosis,native,xDAI,2.5,0x476c61fb91d6d5fd0cc9b3cb01e20ba98e228649422364bc02c622fcce7f9723
2023-08-27 05:56:30.000 UTC,2.9667584e+07,0x423e5af152961f518abfac5b22e874322e88a79c,0xc579b72fe7986b64a84948f8a41c4bee396835b5,Gnosis,native,xDAI,500,0xf5e50820d253521373866fa81391a28cdb1874338889487419eafa49c1e6d662
2023-08-26 21:35:30.000 UTC,2.9661781e+07,0xb78a48658642e77942495f16993b94303c361661,0x2162d991f68cb0991a1b726da341c04e128db3cb,Gnosis,native,xDAI,2,0x5d75f2f734d713ed5a0a8d9db9f8c1f51f47222bc04da5b568f817b440204d74
2023-08-26 15:55:10.000 UTC,2.9657838e+07,0x489d69939b4aca357f630055e351a81f1fbb7fb6,0xbb0c7d070bcbc311d7987133631e93e840ec0325,Gnosis,native,xDAI,0,0x46948278e10d3ae835292b4da927523b0ef2fe09d1f50b7f50e14c2fea1c7af4
2023-08-26 03:55:00.000 UTC,2.9649496e+07,0x33ea8597a2c9de800edf7a73bbc620173171e21a,0x54b172957aad715b1651b022704889e597729eea,Gnosis,native,xDAI,0.8,0xeda2ab3fcd2432681f2a78c8be5f1266a5ab1362a60785458ff16f16d78f9601
2023-08-25 22:41:35.000 UTC,2.9645847e+07,0x93bd46791ae02bb51a9a8974d321236ac3335369,0x9a760aa1fe631fd9ac0aee0965736121c7c132cc,Gnosis,native,xDAI,4.109e-07,0x71c36c2234a1eaceb9332f40ce16d3d4f02b8ce9f80f66807e1e5d56528c8398
2023-08-25 22:26:30.000 UTC,2.9645671e+07,0x93bd46791ae02bb51a9a8974d321236ac3335369,0x9a760aa1fe631fd9ac0aee0965736121c7c132cc,Gnosis,native,xDAI,9.135e-07,0x3ca13a13150bcc9977c721451a34965f062943b2462961882c51e339ff92f34b
2023-08-25 19:07:10.000 UTC,2.9643356e+07,0xa45cb7d399aba68ffe97e10aeab7d48e8368f6ef,0xd3ac4a38f85908508245bd9829ea86b3c866dadc,Gnosis,native,xDAI,85.5,0x3540975e7c5b084d21535901f57ddb5be7d72028a7db196c6af90867104dffb0
2023-08-25 17:56:40.000 UTC,2.964254e+07,0xb8731396f63c375c5919eb5e0e597d07bdf89345,0xfeda9e6d07ac0dcbabd57832a976a10b8146e229,Gnosis,native,xDAI,2.7,0xd040ad493add27e111a86245a207f72094bc7137dc2824f5bb45d864d7c441cc
2023-08-24 20:24:30.000 UTC,2.9627574e+07,0x15ed1e0c61ca2fbb98b0ad2f6ed549fe0ee175c7,0x14ccd6fb7c6d5693969f38c8ef5c08d77d260ce4,Gnosis,native,xDAI,3,0x64735be76a88cf8fe15ca4e179c9f990a230a34e7c77e731020c518d061a8f61
2023-08-24 17:31:50.000 UTC,2.962559e+07,0x9a9badf8b5d14f8f2340180eeac1c80082f26289,0x59a78ffa92049631c790814b1b2c09fd6ade56e9,Gnosis,native,xDAI,3,0x35a5cf311bad5ce147da7d457aedf91be58048426d1a0a6af68e65201251d5f9
2023-08-24 11:42:00.000 UTC,2.9621511e+07,0x50d17829d01302a261f4e3686ad7d7cc41416206,0x5929b404b43e49a2ebbd6afde45294598d4fdd29,Gnosis,native,xDAI,2,0xc08b09959658c48bca68b910bf67cd835a565d4fac87266eaf43f680ba9762bd
2023-08-24 07:02:40.000 UTC,2.9618261e+07,0x423e5af152961f518abfac5b22e874322e88a79c,0xc579b72fe7986b64a84948f8a41c4bee396835b5,Gnosis,native,xDAI,100,0x6ac4db32fb0e8930cb5e568a8f30cd86228146a3a83c5f789d66c9a80de3229f
2023-08-23 22:41:50.000 UTC,2.9612436e+07,0x41cb654d1f47913acab158a8199191d160dabe4a,0x1273261b09dc30d0b6ce460d7cab5820fa42e38c,Gnosis,native,xDAI,310,0xcbce4f5f8afe80fc368e29455692794407b8c06d9804a6431bb32d6d9923bc49
2023-08-23 09:49:00.000 UTC,2.9603487e+07,0x3496cc53d6d8650ec936891038e656a85475126b,0x50d2dec635c48f5e8cede341df87c651c6cd5318,Gnosis,native,xDAI,0.3001,0x2286978cac0e516d968703a8cb4e7b6353dc3bb381ff37183b1f375db41fed9c
2023-08-23 09:48:20.000 UTC,2.9603479e+07,0x50d2dec635c48f5e8cede341df87c651c6cd5318,0x3496cc53d6d8650ec936891038e656a85475126b,Gnosis,native,xDAI,0.8,0xe23b1ada53383d567747dbc6d2c5701b07b44e2bc3e1b062da2f7ac64ccefc8a
