block_time,block_number,from,to,network,token,contract,value,hash
2023-08-24 02:02:13.000 UTC,1.08621878e+08,0xdb656ae889306821fcd8b0256b4f66bced538d43,0xb9557960d25a22288c1581d86d3f5e61209d6176,Optmism,ERC1155,The Narrative Edge,0.0,0x085a388154d47747c929303dff4d6f0af3e4809bf5c2c1c6a9513287fa1c9b46
2023-08-23 21:06:41.000 UTC,1.08613012e+08,0x249fe973667bbe5e03051ce88556067fe52e2ffb,0xd5c02a39fa5f8e20ab787ce429c4d795ba5e5934,Optmism,ERC1155,The Narrative Edge,0.0,0x719a3f40b6665da2e32c975a73c13d075970c66f1b5b576be3d3e0f1bb742ca7
2023-08-19 17:53:35.000 UTC,1.08434419e+08,0x459d73b6c8c6c635e6d7c1c8c28da8adab255e5e,0x06fffebd5ebd97329da366b80f11e7a4b858ee47,Optmism,ERC1155,Zerion x Mirror OGs,0.0,0x444413fde6cf581e7569165a58245c318a1c84e578110171b7a4a25753bd0eb1
2023-08-15 08:56:31.000 UTC,1.08245507e+08,0x1626255e55b3c8fa14c933646534e9f8726c649a,0xdb0f1df85d3f3989c7543a8f74eb7d41132fe74a,Optmism,ERC1155,0xecd9c8247820ff1255f1f7e7db48273747633da2,0.0,0x0fbf1b5d600772ff0d184297d137ee0d0c4254f941a000ca5b29a1ebf3c9b507
2023-08-14 17:56:21.000 UTC,1.08218502e+08,0x8f5e1b1fda54b48f80a261485592223ad03c088b,0x06c5606ff51ea7c1908f8f88056333dfcedd940c,Optmism,ERC1155,Base Connector,0.0,0xd1c1f096fa7a3e1311de4659e7656b851b892d181503ef3e88fd707ce622d132
2023-08-14 15:53:05.000 UTC,1.08214804e+08,0xda90f94194f093db4f27e10a4d0289cee9602459,0x7ad9ecd7940b6a49119b6ce4b14bec6c4dbd36fd,Optmism,ERC1155,Base Subscription,0.0,0x31f6346d233457c3d68828b13077b4248c3385ee0f399cb5d1c8139799badd2c
2023-08-11 13:39:49.000 UTC,1.08081206e+08,0xffb3468b6861ba7044fcf61a2d976028204efc49,0xafd3681ccb0c52d54ade15b2ac346425c8ed0d95,Optmism,ERC1155,Base Subscription,0.0,0x42946ecfd0ce0ee509c49576338633d90ec4d5abb11208324a6299a35134428f
2023-08-04 09:48:59.000 UTC,1.07771881e+08,0x6ab8d88e2f5e373e2e2a6cda861dbc477becc57e,0x0630717c9c6baeabd2b0852e09df08febaccd227,Optmism,ERC1155,CloudBase Rising Dragon,0.0,0x485b6d4cec67d0fa1c5618751cdbbc23d93dfc216fbaa4761d2ac681f6c50530
2023-08-03 03:29:07.000 UTC,1.07717285e+08,0x02e4045724138e793ef548bf8a82bb07f7fe3e4f,0x8ad557e25766c99e28e6fe8e3e0fbf87e452b23d,Optmism,ERC1155,DackieSwap,0.0,0x2913c1cc45250ed4e09a7539b8fd18f128205535e9b3aca68983021b64fd899a
2023-07-26 07:17:47.000 UTC,1.07378545e+08,0x5b1899d88b4ff0cf5a34651e7ce7164398211c66,0x45233ff6bbc10f0eb41f430561ac97d78ddfb4cd,Optmism,ERC1155,Base Connector,0.0,0xda700f71d7e80209507a35c6df02c884ba2cf30a3c462f79bb83fa1d7bf57a9b
